customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4697-LUPSU,One year,No,Mailed check,20.2,34.75
3488-PGMQJ,Month-to-month,Yes,Electronic check,74.5,606.55
0030-FNXPP,Month-to-month,No,Mailed check,19.85,57.2
0952-KMEEH,Month-to-month,No,Mailed check,98.15,1230.25
7594-LZNWR,Month-to-month,No,Credit card (automatic),69.15,2275.1
0769-MURVM,Two year,No,Bank transfer (automatic),65.7,4575.35
8706-HRADD,Month-to-month,Yes,Mailed check,43.55,1011.5
2873-ZLIWT,Month-to-month,Yes,Electronic check,84.85,3303.05
8208-EUMTE,Two year,No,Mailed check,54.85,916.15
6933-FHBZC,,Yes,Mailed check,56.05,1553.2
5536-RTPWK,Month-to-month,Yes,Bank transfer (automatic),99.05,4853.75
3764-MNMOI,Two year,No,Credit card (automatic),19.2,908.15
5442-XSDCW,Month-to-month,Yes,Bank transfer (automatic),79.5,868.5
5766-FTRTS,Two year,No,Mailed check,84.45,6033.1
6961-MJKBO,Two year,No,Bank transfer (automatic),20.45,943
5510-BOIUJ,Month-to-month,No,Mailed check,19.25,19.25
6917-YACBP,Month-to-month,Yes,Electronic check,89.75,5496.9
6461-SZMCV,Two year,No,Bank transfer (automatic),87.95,6365.35
7632-YUTXB,One year,No,Mailed check,20.05,520.1
8915-NNTRC,Two year,Yes,Credit card (automatic),107.7,7919.8
9700-ZCLOT,Month-to-month,No,Mailed check,20.0,32.7
4808-YNLEU,One year,Yes,Bank transfer (automatic),62.15,2215.45
3324-OIRTO,One year,Yes,Bank transfer (automatic),104.65,7288.4
6583-KQJLK,Month-to-month,Yes,Electronic check,94.65,1285.05
6870-ECSHE,One year,No,Mailed check,20.45,34.8
6985-HAYWX,Month-to-month,No,Bank transfer (automatic),79.3,2015.8
4184-TJFAN,Month-to-month,Yes,Mailed check,88.3,273.75
4039-PIMHX,Two year,No,Mailed check,49.8,2398.4
0064-YIJGF,Month-to-month,Yes,Bank transfer (automatic),75.75,1929
1763-WQFUK,Month-to-month,Yes,Mailed check,50.5,147.75
1094-BKOSX,One year,No,Bank transfer (automatic),51.0,2264.5
5370-IIVVL,One year,Yes,Credit card (automatic),104.5,3778
1488-PBLJN,Two year,Yes,Bank transfer (automatic),116.85,8477.7
0516-UXRMT,One year,Yes,Electronic check,92.05,5755.8
8510-TMWYB,Two year,Yes,Bank transfer (automatic),59.8,3246.45
6967-QIQRV,One year,No,Electronic check,101.9,1667.25
1349-WXNGG,Month-to-month,No,Bank transfer (automatic),20.05,20.05
1768-ZAIFU,Month-to-month,Yes,Electronic check,25.2,25.2
0336-KXKFK,Two year,Yes,Credit card (automatic),61.2,4390.25
8080-POTJR,One year,Yes,Credit card (automatic),79.3,2427.1
2190-BCXEC,Month-to-month,Yes,Credit card (automatic),78.85,3126.85
6253-GNHWH,Two year,No,Mailed check,71.1,5224.95
2011-TRQYE,Month-to-month,Yes,Credit card (automatic),33.5,600
4987-GQWPO,Month-to-month,No,Credit card (automatic),25.1,382.8
4735-BJKOU,Two year,No,Mailed check,20.15,804.85
2499-AJYUA,Two year,Yes,Credit card (automatic),110.8,7882.25
3936-QQFLL,Month-to-month,No,Mailed check,19.75,39.3
3251-YMVWZ,One year,No,Bank transfer (automatic),24.05,1301.9
8879-XUAHX,Two year,Yes,Electronic check,116.25,8564.75
2604-IJPDU,Month-to-month,Yes,Electronic check,96.55,1901.65
4320-QMLLA,Month-to-month,No,Mailed check,54.85,370.4
5609-IMCGG,Month-to-month,Yes,Credit card (automatic),84.35,1302.65
1820-DJFPH,Two year,Yes,Bank transfer (automatic),24.05,1709.15
8859-AXJZP,Two year,Yes,Mailed check,23.8,903.8
3284-SVCRO,Two year,No,Mailed check,25.5,1121.05
8739-XNIKG,Month-to-month,Yes,Electronic check,84.0,424.75
6810-VCAEX,One year,No,Credit card (automatic),39.65,1798.65
4396-KLSEH,Month-to-month,Yes,Electronic check,19.85,63
9079-LWTFD,Month-to-month,No,Mailed check,100.75,4669.2
9921-EZKBY,Month-to-month,Yes,Bank transfer (automatic),95.3,3275.15
8404-VLQFB,Month-to-month,Yes,Electronic check,25.25,394.85
0130-SXOUN,Month-to-month,No,Credit card (automatic),89.4,5976.9
8780-IXSTS,Month-to-month,Yes,Electronic check,90.1,521.3
3824-RHKVR,Month-to-month,No,Credit card (automatic),19.7,340.35
2359-KLTEK,Month-to-month,Yes,Bank transfer (automatic),94.9,3848
1091-SOZGA,One year,Yes,Credit card (automatic),99.8,5515.45
2155-AMQRX,Month-to-month,Yes,Credit card (automatic),54.9,1505.15
3704-IEAXF,Two year,No,Credit card (automatic),53.65,3784
7312-XSBAT,Month-to-month,No,Electronic check,49.75,49.75
4010-YLMVT,Month-to-month,Yes,Credit card (automatic),106.6,5893.95
5915-ANOEI,Two year,No,Mailed check,79.15,5536.5
8679-LZBMD,One year,Yes,Bank transfer (automatic),90.65,3974.15
2372-HWUHI,Month-to-month,No,Electronic check,44.35,81.25
7162-WPHPM,Two year,No,Credit card (automatic),71.6,4230.25
8822-KNBHV,One year,Yes,Credit card (automatic),83.45,3887.85
0315-LVCRK,Month-to-month,No,Electronic check,84.8,888.75
8263-QMNTJ,Two year,Yes,Electronic check,115.55,8425.3
0526-SXDJP,Two year,No,Bank transfer (automatic),42.1,2962
5201-USSQZ,Month-to-month,No,Credit card (automatic),85.9,2196.45
4132-POCZS,Month-to-month,Yes,Electronic check,39.9,2020.9
9257-AZMTZ,Two year,No,Bank transfer (automatic),20.1,1078.75
5447-VYTKW,Month-to-month,No,Mailed check,53.45,1461.45
5960-WPXQM,Month-to-month,,Electronic check,79.05,79.05
2826-UWHIS,Month-to-month,No,Bank transfer (automatic),81.4,3775.85
7251-XFOIL,Month-to-month,No,Mailed check,89.2,5500.6
6923-JHPMP,Month-to-month,Yes,Electronic check,80.45,137.1
1373-ORVIZ,Month-to-month,Yes,Electronic check,66.35,740.8
8220-OCUFY,One year,Yes,Electronic check,60.25,1258.35
9488-HGMJH,Month-to-month,Yes,Electronic check,71.15,71.15
2446-BEGGB,Month-to-month,Yes,Electronic check,98.25,560.6
5781-RFZRP,Two year,No,Credit card (automatic),73.5,5357.75
0973-KYVNF,Two year,Yes,Credit card (automatic),70.65,5011.15
3740-RLMVT,One year,Yes,Bank transfer (automatic),60.95,4119.4
5837-LXSDN,One year,Yes,Credit card (automatic),58.85,1215.45
0404-AHASP,Two year,No,Credit card (automatic),19.7,1421.9
1934-MKPXS,One year,No,Credit card (automatic),20.1,620.55
3049-SOLAY,Month-to-month,Yes,Electronic check,95.2,292.85
8914-RBTSB,Month-to-month,No,Electronic check,93.8,3019.5
1925-LFCZZ,One year,Yes,Bank transfer (automatic),50.05,2743.45
8372-JUXUI,Month-to-month,Yes,Electronic check,74.35,74.35
5863-OOKCL,Month-to-month,No,Mailed check,18.85,163.2
8262-COGGB,Month-to-month,Yes,Mailed check,20.45,20.45
3320-VEOYC,Month-to-month,Yes,Electronic check,95.6,1273.3
1096-ADRUX,One year,Yes,Bank transfer (automatic),74.25,4859.25
5668-MEISB,Two year,No,Credit card (automatic),106.1,7657.4
4801-JZAZL,Month-to-month,Yes,Electronic check,29.6,346.45
6578-KRMAW,Month-to-month,Yes,Credit card (automatic),93.4,2979.3
8884-ADFVN,Month-to-month,Yes,Electronic check,101.95,700.85
6933-VLYFX,One year,No,Electronic check,59.95,1848.8
4825-XJGDM,One year,No,Credit card (automatic),43.7,2696.55
1846-XWOQN,Month-to-month,Yes,Electronic check,70.15,70.15
8089-UZWLX,Two year,No,Bank transfer (automatic),104.05,7413.55
5940-AHUHD,Month-to-month,No,Mailed check,70.6,70.6
0432-CAJZV,Month-to-month,No,Mailed check,90.7,237.65
3249-ZPQRG,Month-to-month,No,Electronic check,78.45,330.05
6726-WEXXK,One year,Yes,Electronic check,85.9,2220.1
2984-AFWNC,Month-to-month,No,Electronic check,95.4,293.15
9122-UMROB,Month-to-month,No,Mailed check,20.3,20.3
0238-WHBIQ,Two year,No,Credit card (automatic),89.7,6339.3
2405-LBMUW,One year,Yes,Bank transfer (automatic),50.7,3088.75
5153-LXKDT,Two year,Yes,Electronic check,110.2,7467.5
3007-FDPEA,Month-to-month,Yes,Bank transfer (automatic),20.7,39.85
2791-SFVEW,Month-to-month,No,Bank transfer (automatic),20.15,238.15
6265-FRMTQ,Two year,No,Bank transfer (automatic),20.4,609.1
6680-WKXRZ,Month-to-month,No,Bank transfer (automatic),74.4,215.8
3174-RKMOW,Month-to-month,Yes,Electronic check,109.95,3782.4
0829-DDVLK,One year,No,Credit card (automatic),20.1,302.45
1415-YFWLT,Month-to-month,Yes,Electronic check,89.3,89.3
7599-FKVXZ,Month-to-month,Yes,Bank transfer (automatic),106.15,4512.7
5692-FPTAH,Month-to-month,Yes,Mailed check,45.4,45.4
0020-INWCK,Two year,Yes,Credit card (automatic),95.75,6849.4
3170-NMYVV,Two year,No,Bank transfer (automatic),20.15,930.9
8807-OPMBM,Two year,Yes,Credit card (automatic),25.65,1388
3557-HTYWR,,No,Mailed check,74.05,3496.3
7552-KEYGT,Two year,No,Bank transfer (automatic),19.55,520.55
6061-PQHMK,One year,No,Credit card (automatic),19.9,527.5
6907-NZZIJ,Month-to-month,Yes,Electronic check,99.15,3615.6
2252-ISRNH,One year,Yes,Electronic check,90.35,767.9
0481-SUMCB,One year,Yes,Bank transfer (automatic),102.15,4735.35
4737-HOBAX,Two year,No,Credit card (automatic),79.8,5034.05
3780-YVMFA,Month-to-month,Yes,Electronic check,68.55,564.35
8908-NMQTX,Two year,Yes,Bank transfer (automatic),65.6,4566.5
2955-BJZHG,Month-to-month,No,Electronic check,80.85,1400.85
9776-CLUJA,Month-to-month,Yes,Electronic check,77.5,3807.35
9030-QGZNL,Two year,No,Mailed check,20.85,161.65
0268-QKIWO,Month-to-month,No,Electronic check,19.75,58.85
1555-HAPSU,Two year,No,Credit card (automatic),23.9,1663.5
6435-VWCCY,Two year,Yes,Credit card (automatic),92.7,5968.4
1320-GVNHT,Two year,Yes,Credit card (automatic),108.4,7767.25
5275-PMFUT,Two year,Yes,Credit card (automatic),64.8,4719.75
2988-QRAJY,Two year,Yes,Credit card (automatic),110.05,7430.75
7274-CGTOD,Two year,Yes,Bank transfer (automatic),43.7,2618.3
0442-ZXKVS,One year,Yes,Bank transfer (automatic),115.6,6431.05
1407-DIGZV,Two year,No,Mailed check,19.1,52
9069-LGEUL,Month-to-month,Yes,Bank transfer (automatic),59.95,1406
9046-DQMTP,Month-to-month,No,Bank transfer (automatic),20.75,739.9
6075-QMNRR,Month-to-month,Yes,Bank transfer (automatic),49.75,2535.55
5091-HFAZW,Month-to-month,Yes,Electronic check,91.15,168.5
9135-HSWOC,Two year,Yes,Bank transfer (automatic),19.7,1274.05
7365-BVCJH,Month-to-month,Yes,Electronic check,24.4,24.4
4450-MDZFX,,No,Bank transfer (automatic),74.35,4453.3
7384-GHBPI,Month-to-month,Yes,Electronic check,35.15,99.75
0392-BZIUW,Two year,Yes,Credit card (automatic),105.0,7589.8
3916-NRPAP,Month-to-month,No,Credit card (automatic),85.7,256.75
1744-JHKYS,Month-to-month,No,Electronic check,24.7,780.2
2842-BCQGE,Month-to-month,Yes,Credit card (automatic),75.35,3161.4
7134-MJPDY,One year,Yes,Credit card (automatic),102.85,6976.75
5555-RNPGT,Month-to-month,No,Credit card (automatic),24.8,223.9
0520-FDVVT,One year,Yes,Bank transfer (automatic),102.35,3626.1
0670-KDOMA,Month-to-month,Yes,Mailed check,20.25,20.25
0655-YDGFJ,Month-to-month,No,Bank transfer (automatic),48.95,1323.7
8329-GWVPJ,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.7
8816-VXNZD,Month-to-month,Yes,Electronic check,75.1,75.1
0895-LMRSF,One year,Yes,Bank transfer (automatic),64.9,1509.8
9283-LZQOH,Month-to-month,Yes,Credit card (automatic),74.4,896.75
9577-WJVCQ,Month-to-month,No,Mailed check,54.45,3687.75
4452-ROHMO,Two year,No,Mailed check,19.6,331.6
4682-BLBUC,One year,Yes,Electronic check,70.95,3250.45
9812-GHVRI,Month-to-month,No,Bank transfer (automatic),83.85,3532.25
7601-DHFWZ,Two year,No,Credit card (automatic),24.0,1183.05
0817-HSUSE,Month-to-month,Yes,Electronic check,75.5,75.5
4598-ZADCK,One year,Yes,Electronic check,53.6,2879.2
7883-ROJOC,,No,Mailed check,44.9,839.65
6145-NNPNO,Month-to-month,No,Bank transfer (automatic),44.15,44.15
9738-QLWTP,One year,No,Electronic check,81.9,3219.75
9154-QDGTH,One year,Yes,Credit card (automatic),104.3,4451.85
9430-FRQOC,Month-to-month,Yes,Mailed check,87.1,341.45
7998-WNZEM,Two year,No,Bank transfer (automatic),80.6,5708.2
2195-ZRVAX,Month-to-month,Yes,Electronic check,85.3,4045.65
9722-UJOJR,Month-to-month,Yes,Electronic check,70.75,1974.8
8224-UAXBZ,One year,Yes,Electronic check,45.35,2540.1
8614-VGMMV,Month-to-month,Yes,Electronic check,49.1,679.55
2904-GGUAZ,Two year,Yes,Bank transfer (automatic),84.05,6052.25
6397-JNZZG,Month-to-month,No,Credit card (automatic),55.55,2342.2
4598-XLKNJ,Month-to-month,Yes,Electronic check,98.5,2514.5
8739-QOTTN,Month-to-month,No,Mailed check,20.35,41.85
1635-FJFCC,Month-to-month,Yes,Credit card (automatic),44.05,202.15
1794-SWWKL,Month-to-month,Yes,Bank transfer (automatic),59.65,867.1
0486-LGCCH,Two year,No,Mailed check,19.65,225.75
6509-TSGWN,Month-to-month,No,Mailed check,26.45,911.6
4078-SAYYN,Month-to-month,Yes,Electronic check,100.75,1129.75
7088-FBAWU,Month-to-month,No,Mailed check,74.55,1215.8
5268-DSMNQ,One year,Yes,Credit card (automatic),97.95,5936.55
1666-JZPZT,Month-to-month,No,Mailed check,49.0,1291.35
9621-OUPYD,One year,Yes,Bank transfer (automatic),20.2,507.9
0608-JDVEC,Two year,No,Electronic check,19.8,1013.2
0979-PHULV,Month-to-month,Yes,Credit card (automatic),99.45,7007.6
9891-NQDBD,One year,No,Mailed check,25.55,672.2
6169-PPETC,Two year,No,Bank transfer (automatic),20.5,759.35
8873-TMKGR,One year,No,Mailed check,19.1,529.5
4832-VRBMR,One year,Yes,Bank transfer (automatic),103.15,6792.45
2878-DHMIN,One year,No,Electronic check,19.9,666
6582-PLFUU,Two year,No,Credit card (automatic),19.55,1086.75
3859-CVCET,Month-to-month,No,Mailed check,45.65,191.05
2040-LDIWQ,Two year,Yes,Bank transfer (automatic),84.2,5324.5
3511-APPBJ,One year,Yes,Credit card (automatic),99.95,2292.75
3865-QBWSJ,Month-to-month,Yes,Mailed check,80.45,3162.65
5019-GQVCR,Month-to-month,Yes,Electronic check,84.85,3645.6
5197-YPYBZ,Two year,No,Credit card (automatic),25.25,274.7
4837-QUSFT,One year,Yes,Bank transfer (automatic),100.15,6643.5
0916-QOFDP,Month-to-month,Yes,Electronic check,95.8,1346.3
6331-EWIEB,Month-to-month,Yes,Electronic check,85.25,1734.5
5181-OABFK,Two year,Yes,Credit card (automatic),61.3,3346.8
6743-HHQPF,Month-to-month,Yes,Credit card (automatic),25.1,1097.15
1391-UBDAR,Month-to-month,No,Electronic check,72.9,818.45
7314-OXENN,Month-to-month,Yes,Electronic check,82.0,184.65
1465-WCZVT,Month-to-month,No,Mailed check,19.65,60.65
3428-XZMAZ,Month-to-month,Yes,Electronic check,69.35,69.35
1093-YSWCA,Two year,No,Credit card (automatic),19.55,223.15
1230-QAJDW,Month-to-month,Yes,Mailed check,65.25,209.9
8605-ITULD,Month-to-month,No,Mailed check,19.55,19.55
2181-TIDSV,Two year,Yes,Bank transfer (automatic),19.95,1303.25
1722-LDZJS,One year,No,Credit card (automatic),20.2,1068.15
5298-GSTLM,One year,Yes,Bank transfer (automatic),101.4,6176.6
4274-DRSQT,One year,Yes,Bank transfer (automatic),88.9,6000.1
9473-CBZOP,One year,No,Mailed check,59.0,1654.45
6705-LXORM,Month-to-month,No,Electronic check,70.05,302.6
2778-OCLGR,Month-to-month,No,Bank transfer (automatic),39.1,971.3
5906-CVLHP,One year,Yes,Credit card (automatic),54.15,2319.8
6137-NICCO,Month-to-month,Yes,Mailed check,94.05,518.75
8348-JLBUG,One year,No,Credit card (automatic),80.3,5017.7
1930-WNXSB,Month-to-month,Yes,Electronic check,92.85,5305.05
6015-VVHHE,Month-to-month,Yes,Credit card (automatic),83.15,446.05
7869-ZYDST,Month-to-month,Yes,Credit card (automatic),59.05,1882.8
0939-YAPAF,Month-to-month,Yes,Electronic check,100.25,3527.6
9294-TDIPC,Month-to-month,No,Mailed check,20.2,83.75
6692-YQHXC,Month-to-month,Yes,Credit card (automatic),69.95,1205.5
8999-XXGNS,One year,Yes,Credit card (automatic),105.75,7629.85
1150-FTQGN,One year,No,Bank transfer (automatic),94.15,5811.8
6651-RLGGM,Two year,No,Mailed check,26.3,1688.9
5684-FJVYR,Two year,Yes,Bank transfer (automatic),90.35,6563.4
9447-YPTBX,One year,Yes,Bank transfer (automatic),19.85,943.1
2740-JFBOK,Month-to-month,Yes,Electronic check,24.0,226.55
6108-OQZDQ,Month-to-month,Yes,Electronic check,97.95,384.5
0722-TROQR,Month-to-month,Yes,Electronic check,74.9,321.75
2504-DSHIH,Month-to-month,No,Electronic check,86.8,1975.85
6229-LSCKB,Month-to-month,Yes,Electronic check,79.7,497.6
9169-BSVIN,Month-to-month,No,Bank transfer (automatic),74.75,827.05
9512-PHSMG,Month-to-month,Yes,Mailed check,20.55,252.75
1319-YLZJG,Month-to-month,Yes,Electronic check,84.6,959.9
0628-CNQRM,One year,Yes,Bank transfer (automatic),67.5,1544.05
2452-SNHFZ,Month-to-month,No,Credit card (automatic),75.45,3545.1
7079-QRCBC,Month-to-month,Yes,Electronic check,98.75,2407.3
0866-QLSIR,One year,Yes,Mailed check,64.4,2088.75
6549-YMFAW,Month-to-month,Yes,Mailed check,21.25,204.55
0618-XWMSS,Month-to-month,Yes,Bank transfer (automatic),74.9,2068.55
2954-PIBKO,Two year,Yes,Credit card (automatic),64.15,4254.1
4450-YOOHP,Month-to-month,Yes,Credit card (automatic),50.65,1905.4
1258-YMZNM,One year,Yes,Bank transfer (automatic),110.5,2857.6
5857-XRECV,One year,No,Bank transfer (automatic),20.5,38.25
7298-IZWLY,Month-to-month,Yes,Mailed check,19.4,19.4
8079-XRJRS,One year,No,Electronic check,89.75,5769.6
3482-ABPKK,One year,No,Mailed check,54.3,1546.3
7613-LLQFO,Month-to-month,Yes,Electronic check,84.45,1059.55
0390-DCFDQ,Month-to-month,Yes,Mailed check,70.45,70.45
2640-PMGFL,Month-to-month,Yes,Electronic check,79.5,2180.55
7008-LZVOZ,Two year,Yes,Credit card (automatic),25.3,1672.35
7921-BEPCI,Two year,No,Bank transfer (automatic),59.75,4265
2205-LPVGL,One year,Yes,Bank transfer (automatic),89.85,5125.75
3811-VBYBZ,Month-to-month,Yes,Electronic check,99.8,673.25
2979-SXESE,Month-to-month,No,Electronic check,94.4,1607.2
1299-AURJA,Two year,No,Bank transfer (automatic),24.7,1685.9
9244-ZVAPM,Month-to-month,No,Mailed check,45.6,45.6
8592-PLTMQ,One year,No,Mailed check,24.7,1642.75
3537-HPKQT,Month-to-month,Yes,Credit card (automatic),77.75,4266.4
0549-CYCQN,One year,Yes,Bank transfer (automatic),79.6,3974.7
4548-SDBKE,Month-to-month,Yes,Electronic check,85.2,474.8
1557-EMYVT,Two year,No,Credit card (automatic),115.05,4895.1
7056-IMHCC,Month-to-month,Yes,Electronic check,101.9,5549.4
9625-RZFUK,Two year,No,Mailed check,19.7,1275.85
2346-CZYIL,Two year,No,Credit card (automatic),20.35,531.6
5760-WRAHC,Month-to-month,Yes,Mailed check,69.75,1545.4
4369-HTUIF,Month-to-month,Yes,Bank transfer (automatic),85.15,503.6
5898-IGSLP,Month-to-month,No,Electronic check,89.3,2823
2250-IVBWA,Month-to-month,No,Electronic check,81.05,5135.35
5324-KTGCG,One year,No,Electronic check,20.85,1539.75
8819-WFGGJ,Two year,Yes,Bank transfer (automatic),54.1,3794.5
9108-EJFJP,Month-to-month,Yes,Mailed check,53.55,53.55
7426-GSWPO,Month-to-month,Yes,Bank transfer (automatic),103.5,6548.65
3234-VKACU,Month-to-month,No,Electronic check,70.3,132.4
5522-JBWMO,Month-to-month,No,Electronic check,44.0,44
1104-FEJAM,Month-to-month,No,Electronic check,64.4,1802.15
5067-DGXLL,Month-to-month,No,Mailed check,20.25,36.8
3398-GCPMU,Two year,Yes,Credit card (automatic),89.55,6448.85
3736-BLEPA,One year,Yes,Bank transfer (automatic),91.25,2483.65
2696-ECXKC,One year,No,Mailed check,100.9,5448.6
2296-DKZFP,Two year,No,Bank transfer (automatic),71.0,4386.2
9971-ZWPBF,Month-to-month,Yes,Electronic check,108.9,3625.2
2634-HCZGT,One year,Yes,Electronic check,60.05,3229.65
7696-CFTAT,Two year,No,Bank transfer (automatic),19.8,726.1
2189-WWOEW,Month-to-month,Yes,Bank transfer (automatic),85.9,1269.55
5702-KVQRD,Two year,Yes,Electronic check,82.55,5832.65
4343-EJVQB,Month-to-month,No,Mailed check,74.35,533.6
3022-BEXHZ,Two year,Yes,Bank transfer (automatic),111.2,7530.8
2279-AXJJK,Month-to-month,Yes,Credit card (automatic),95.65,5088.4
8213-TAZPM,One year,Yes,Bank transfer (automatic),108.75,7493.05
6778-EICRF,One year,No,Mailed check,74.8,1821.2
2272-UOINI,Month-to-month,Yes,Electronic check,78.5,571.05
7452-FOLON,One year,No,Bank transfer (automatic),25.45,958.45
1215-EXRMO,Two year,No,Mailed check,20.55,1067.65
9571-EDEBV,One year,Yes,Credit card (automatic),98.65,6962.85
0854-UYHZD,Two year,No,Mailed check,19.55,265.3
8992-CEUEN,Month-to-month,No,Electronic check,18.85,18.85
0082-OQIQY,Month-to-month,Yes,Electronic check,94.2,2607.6
0822-QGCXA,Month-to-month,No,Electronic check,83.85,2310.2
5306-BVTKJ,One year,Yes,Credit card (automatic),55.8,2651.2
2472-OVKUP,Month-to-month,Yes,Electronic check,91.0,531
8097-OMULG,One year,No,Credit card (automatic),76.75,4541.9
1421-HCERK,Month-to-month,Yes,Bank transfer (automatic),105.7,3181.8
5918-VUKWP,One year,No,Bank transfer (automatic),20.55,654.55
3318-NMQXL,Month-to-month,Yes,Electronic check,92.0,266.8
6921-OZMFH,Month-to-month,Yes,Mailed check,55.7,259.4
9415-ZNBSX,Two year,Yes,Bank transfer (automatic),89.0,6293.2
5542-TBBWB,Month-to-month,Yes,Electronic check,69.9,69.9
7401-JIXNM,Two year,No,Credit card (automatic),91.3,4965
1452-UZOSF,Two year,Yes,Credit card (automatic),106.1,7548.6
0531-XBKMM,Two year,No,Bank transfer (automatic),65.7,4378.9
5154-VEKBL,Month-to-month,No,Mailed check,58.5,539.85
2516-XSJKX,Two year,No,Electronic check,78.45,3126.45
4782-OSFXZ,Two year,Yes,Bank transfer (automatic),82.7,5831.2
9351-HXDMR,Two year,Yes,Credit card (automatic),110.9,8240.85
8309-PPCED,Two year,Yes,Bank transfer (automatic),110.45,7982.5
8802-UNOJF,Month-to-month,Yes,Mailed check,83.8,1029.75
7753-USQYQ,One year,Yes,Electronic check,64.2,3627.3
4822-LPTYJ,Two year,Yes,Bank transfer (automatic),103.75,7346.2
3761-FLYZI,Month-to-month,Yes,Bank transfer (automatic),108.8,7082.45
4636-QRJKY,Month-to-month,Yes,Electronic check,80.5,502.85
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic),70.9,273
5445-PZWGX,One year,No,Electronic check,102.0,6529.25
6857-TKDJV,Two year,No,Bank transfer (automatic),24.65,1620.45
1567-DSCIC,Month-to-month,Yes,Electronic check,94.0,773.65
8544-JNBOX,Two year,Yes,Mailed check,20.8,1521.2
5386-THSLQ,One year,No,Bank transfer (automatic),45.55,3027.25
6331-LWDTQ,Month-to-month,Yes,Credit card (automatic),72.15,794.25
9360-AHGNL,One year,Yes,Mailed check,109.55,4830.25
2150-UWTFY,Month-to-month,No,Mailed check,61.15,1422.05
1508-DFXCU,Month-to-month,Yes,Electronic check,81.45,912
6143-JQKEA,Month-to-month,Yes,Credit card (automatic),45.8,436.2
7801-CEDNV,One year,No,Credit card (automatic),48.7,1421.75
2717-HVIZY,Month-to-month,No,Mailed check,20.05,163.6
0064-SUDOG,Two year,No,Bank transfer (automatic),20.3,224.5
6164-HAQTX,Two year,No,Bank transfer (automatic),,3888.65
1228-FZFRV,Month-to-month,No,Credit card (automatic),105.95,5341.8
1679-JRFBR,One year,Yes,Credit card (automatic),108.15,7930.55
1919-RTPQD,Month-to-month,No,Electronic check,44.75,333.65
7641-EUYET,Month-to-month,Yes,Electronic check,100.7,4541.2
2720-FVBQP,Month-to-month,Yes,Credit card (automatic),48.95,273.25
8035-PWSEV,Month-to-month,Yes,Electronic check,89.25,487.05
3547-LQRIK,One year,No,Electronic check,26.9,1250.85
0376-OIWME,Month-to-month,Yes,Electronic check,93.6,3366.05
0325-XBFAC,Month-to-month,Yes,Electronic check,94.7,740.3
2292-XQWSV,One year,No,Mailed check,60.3,2448.5
2252-JHJGE,One year,No,Electronic check,104.0,6363.45
6176-YJWAS,Two year,Yes,Credit card (automatic),97.95,7114.25
6383-ZTSIW,One year,No,Mailed check,99.1,3877.95
4365-MSDYN,Month-to-month,Yes,Bank transfer (automatic),19.55,161.15
1455-ESIQH,Month-to-month,Yes,Electronic check,89.1,89.1
4664-NJCMS,Two year,No,Bank transfer (automatic),59.55,2016.3
4911-BANWH,Month-to-month,Yes,Credit card (automatic),86.55,2697.4
7394-FKDNK,Month-to-month,No,Electronic check,89.45,853.1
8285-ABVLB,Two year,No,Credit card (automatic),19.85,1328.35
4644-OBGFZ,One year,No,Mailed check,19.5,1026.35
8410-BGQXN,Month-to-month,No,Mailed check,19.4,93.4
4091-TVOCN,One year,Yes,Credit card (automatic),78.75,3682.45
7157-SMCFK,Two year,No,Mailed check,19.75,1124.2
9799-CAYJJ,Month-to-month,Yes,Electronic check,69.3,153.8
3683-QKIUE,Month-to-month,Yes,Bank transfer (automatic),50.8,288.05
3538-WZPHD,Month-to-month,Yes,Electronic check,29.6,79.45
8205-OTCHB,One year,Yes,Bank transfer (automatic),43.75,903.6
7674-YTAFD,One year,Yes,Bank transfer (automatic),79.95,2684.85
1571-SAVHK,Month-to-month,Yes,Mailed check,99.95,1132.75
1779-PWPMG,Two year,Yes,Bank transfer (automatic),114.65,8333.95
3969-JQABI,Month-to-month,Yes,Credit card (automatic),65.25,3791.6
3313-QKNKB,One year,No,Electronic check,85.55,5084.65
9086-YJYXS,One year,No,Bank transfer (automatic),77.2,2753.8
1248-DYXUB,Two year,No,Mailed check,24.8,1229.1
0621-TWIEM,Month-to-month,Yes,Electronic check,45.55,402.6
8679-JOEVF,Month-to-month,No,Electronic check,59.4,1023.9
3424-NMNBO,One year,Yes,Electronic check,108.85,6287.25
7209-JCUDS,Month-to-month,Yes,Electronic check,94.9,1048.85
7952-OBOYL,Month-to-month,Yes,Mailed check,89.85,244.45
7876-DNYAP,Two year,No,Credit card (automatic),19.8,1436.95
6549-NNDYT,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1
5419-KLXBN,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75
5028-HTLJB,Month-to-month,No,Mailed check,20.05,20.05
1541-ETJZO,Month-to-month,No,Mailed check,62.05,62.05
6999-CHVCF,Two year,Yes,Bank transfer (automatic),102.1,7149.35
5167-ZFFMM,Month-to-month,Yes,Credit card (automatic),90.85,90.85
6326-MTTXK,Month-to-month,No,Electronic check,100.85,819.55
4195-NZGTA,Month-to-month,No,Electronic check,25.25,25.25
5619-PTMIK,Month-to-month,No,Electronic check,53.1,2459.8
